date,open_price
2025-08-06,214.695
2025-08-07,221.0
2025-08-08,223.14
2025-08-11,221.78
2025-08-12,222.23
2025-08-13,222.0
2025-08-14,227.4
2025-08-15,232.58
2025-08-18,230.225
2025-08-19,230.09
2025-08-20,227.12
2025-08-21,222.65
2025-08-22,222.79
2025-08-25,227.35
2025-08-26,227.11
2025-08-27,228.57
2025-08-28,229.005
2025-08-29,231.32
2025-09-02,223.52
2025-09-03,225.21
2025-09-04,231.185
2025-09-05,235.19
2025-09-08,234.94
2025-09-09,236.355
2025-09-10,237.515
2025-09-11,231.49
2025-09-12,230.35
2025-09-15,230.625
2025-09-16,232.935
2025-09-17,233.77
2025-09-18,232.5
2025-09-19,232.37
2025-09-22,230.56
2025-09-23,227.83
2025-09-24,224.15
2025-09-25,220.06
2025-09-26,219.08
2025-09-29,220.08
2025-09-30,222.03
2025-10-01,217.36
2025-10-02,221.01
2025-10-03,223.44
2025-10-06,221.0
2025-10-07,220.88
2025-10-08,222.92
2025-10-09,224.995
2025-10-10,226.21
2025-10-13,217.7
2025-10-14,215.555
2025-10-15,216.62
2025-10-16,215.67
2025-10-17,214.56
2025-10-20,213.88
2025-10-21,218.43
2025-10-22,219.3
2025-10-23,219.0
2025-10-24,221.97
2025-10-27,227.66
2025-10-28,228.215
2025-10-29,231.672
2025-10-30,227.06
2025-10-31,250.1
2025-11-03,255.36
2025-11-04,250.38
2025-11-05,249.03
2025-11-06,249.155
2025-11-07,242.9
2025-11-10,248.34
2025-11-11,248.41
2025-11-12,250.235
2025-11-13,243.05
2025-11-14,235.06
2025-11-17,233.25
2025-11-18,228.1
2025-11-19,223.735
2025-11-20,227.05
2025-11-21,216.345
2025-11-24,222.555
2025-11-25,226.38
2025-11-26,230.74
2025-11-28,231.24
2025-12-01,233.22
2025-12-02,235.005
2025-12-03,233.35
2025-12-04,232.77
2025-12-05,230.32
2025-12-08,229.59
2025-12-09,226.84
2025-12-10,228.805
2025-12-11,230.71
2025-12-12,229.87
2025-12-15,227.93
2025-12-16,223.035
2025-12-17,224.655
2025-12-18,225.705
2025-12-19,226.76
2025-12-22,228.61
2025-12-23,229.055
2025-12-24,232.13
2025-12-26,232.035
