date,open_price
2025-08-06,194.5
2025-08-07,197.06
2025-08-08,197.22
2025-08-11,200.935
2025-08-12,201.365
2025-08-13,204.13
2025-08-14,201.5
2025-08-15,203.85
2025-08-18,204.2
2025-08-19,203.03
2025-08-20,200.73
2025-08-21,199.745
2025-08-22,202.73
2025-08-25,206.43
2025-08-26,207.51
2025-08-27,205.7
2025-08-28,207.25
2025-08-29,210.51
2025-09-02,208.44
2025-09-03,226.21
2025-09-04,229.65
2025-09-05,232.2
2025-09-08,235.47
2025-09-09,234.165
2025-09-10,238.9
2025-09-11,239.88
2025-09-12,240.37
2025-09-15,244.66
2025-09-16,252.08
2025-09-17,251.22
2025-09-18,251.68
2025-09-19,253.25
2025-09-22,254.43
2025-09-23,253.04
2025-09-24,251.66
2025-09-25,244.4
2025-09-26,247.065
2025-09-29,247.85
2025-09-30,242.81
2025-10-01,240.75
2025-10-02,245.15
2025-10-03,244.49
2025-10-06,244.78
2025-10-07,248.27
2025-10-08,244.96
2025-10-09,244.47
2025-10-10,241.43
2025-10-13,240.21
2025-10-14,241.23
2025-10-15,247.245
2025-10-16,251.765
2025-10-17,250.76
2025-10-20,254.69
2025-10-21,254.74
2025-10-22,254.37
2025-10-23,252.98
2025-10-24,256.58
2025-10-27,264.815
2025-10-28,269.69
2025-10-29,267.75
2025-10-30,291.59
2025-10-31,283.21
2025-11-03,282.175
2025-11-04,276.75
2025-11-05,278.87
2025-11-06,285.33
2025-11-07,283.205
2025-11-10,284.42
2025-11-11,287.745
2025-11-12,291.675
2025-11-13,282.34
2025-11-14,271.405
2025-11-17,285.775
2025-11-18,287.915
2025-11-19,287.16
2025-11-20,304.54
2025-11-21,296.415
2025-11-24,311.13
2025-11-25,326.21
2025-11-26,320.68
2025-11-28,323.365
2025-12-01,317.7
2025-12-02,316.74
2025-12-03,315.89
2025-12-04,322.225
2025-12-05,319.49
2025-12-08,320.05
2025-12-09,312.37
2025-12-10,315.83
2025-12-11,320.08
2025-12-12,313.7
2025-12-15,311.315
2025-12-16,304.945
2025-12-17,308.01
2025-12-18,301.72
2025-12-19,301.73
2025-12-22,309.875
2025-12-23,309.625
2025-12-24,314.77
2025-12-26,314.48
