date,open_price
2025-08-06,530.9
2025-08-07,526.8
2025-08-08,522.6
2025-08-11,522.3
2025-08-12,523.75
2025-08-13,532.11
2025-08-14,522.56
2025-08-15,522.77
2025-08-18,521.585
2025-08-19,515.0
2025-08-20,509.865
2025-08-21,503.69
2025-08-22,504.25
2025-08-25,506.63
2025-08-26,504.355
2025-08-27,502.0
2025-08-28,507.09
2025-08-29,508.66
2025-09-02,500.465
2025-09-03,503.79
2025-09-04,504.3
2025-09-05,509.07
2025-09-08,498.105
2025-09-09,501.43
2025-09-10,502.98
2025-09-11,502.25
2025-09-12,506.65
2025-09-15,508.79
2025-09-16,516.88
2025-09-17,510.62
2025-09-18,511.49
2025-09-19,510.56
2025-09-22,515.59
2025-09-23,513.8
2025-09-24,510.38
2025-09-25,508.3
2025-09-26,510.06
2025-09-29,511.5
2025-09-30,513.24
2025-10-01,514.8
2025-10-02,517.64
2025-10-03,517.1
2025-10-06,518.61
2025-10-07,528.285
2025-10-08,523.28
2025-10-09,522.335
2025-10-10,519.64
2025-10-13,516.41
2025-10-14,510.225
2025-10-15,514.955
2025-10-16,512.58
2025-10-17,509.04
2025-10-20,514.61
2025-10-21,517.5
2025-10-22,521.15
2025-10-23,522.46
2025-10-24,522.79
2025-10-27,531.78
2025-10-28,550.0
2025-10-29,544.94
2025-10-30,530.48
2025-10-31,528.875
2025-11-03,519.805
2025-11-04,511.76
2025-11-05,513.3
2025-11-06,505.66
2025-11-07,496.945
2025-11-10,500.035
2025-11-11,504.8
2025-11-12,509.355
2025-11-13,510.31
2025-11-14,498.23
2025-11-17,508.45
2025-11-18,495.365
2025-11-19,490.1
2025-11-20,492.71
2025-11-21,478.5
2025-11-24,475.0
2025-11-25,474.07
2025-11-26,486.31
2025-11-28,487.595
2025-12-01,488.435
2025-12-02,486.715
2025-12-03,476.32
2025-12-04,479.76
2025-12-05,482.515
2025-12-08,484.885
2025-12-09,489.1
2025-12-10,484.03
2025-12-11,476.63
2025-12-12,479.82
2025-12-15,480.1
2025-12-16,471.905
2025-12-17,476.905
2025-12-18,478.19
2025-12-19,487.36
2025-12-22,486.12
2025-12-23,484.98
2025-12-24,485.68
2025-12-26,486.705
