date,open_price
2025-08-06,307.89
2025-08-07,319.79
2025-08-08,321.43
2025-08-11,335.0
2025-08-12,345.0
2025-08-13,341.5
2025-08-14,335.76
2025-08-15,337.655
2025-08-18,329.62
2025-08-19,335.79
2025-08-20,329.22
2025-08-21,322.08
2025-08-22,321.66
2025-08-25,338.9
2025-08-26,344.93
2025-08-27,351.94
2025-08-28,350.91
2025-08-29,347.23
2025-09-02,328.23
2025-09-03,335.2
2025-09-04,336.15
2025-09-05,348.0
2025-09-08,354.64
2025-09-09,348.44
2025-09-10,350.55
2025-09-11,350.17
2025-09-12,370.94
2025-09-15,423.13
2025-09-16,414.495
2025-09-17,415.75
2025-09-18,428.865
2025-09-19,421.82
2025-09-22,431.11
2025-09-23,439.88
2025-09-24,429.83
2025-09-25,435.24
2025-09-26,428.3
2025-09-29,444.35
2025-09-30,441.52
2025-10-01,443.8
2025-10-02,470.54
2025-10-03,443.285
2025-10-06,440.75
2025-10-07,447.82
2025-10-08,437.57
2025-10-09,431.81
2025-10-10,436.54
2025-10-13,423.53
2025-10-14,426.79
2025-10-15,434.9
2025-10-16,434.73
2025-10-17,425.5
2025-10-20,443.865
2025-10-21,445.755
2025-10-22,443.45
2025-10-23,420.0
2025-10-24,446.83
2025-10-27,439.98
2025-10-28,454.775
2025-10-29,462.5
2025-10-30,451.05
2025-10-31,446.75
2025-11-03,455.99
2025-11-04,454.46
2025-11-05,452.05
2025-11-06,461.96
2025-11-07,437.92
2025-11-10,439.6
2025-11-11,439.4
2025-11-12,442.15
2025-11-13,423.13
2025-11-14,386.3
2025-11-17,398.74
2025-11-18,405.38
2025-11-19,406.18
2025-11-20,414.63
2025-11-21,402.32
2025-11-24,402.17
2025-11-25,414.42
2025-11-26,423.95
2025-11-28,426.59
2025-12-01,425.32
2025-12-02,430.81
2025-12-03,432.1
2025-12-04,449.94
2025-12-05,453.03
2025-12-08,447.445
2025-12-09,437.54
2025-12-10,446.065
2025-12-11,448.945
2025-12-12,448.09
2025-12-15,469.44
2025-12-16,472.21
2025-12-17,488.22
2025-12-18,478.16
2025-12-19,488.12
2025-12-22,489.88
2025-12-23,489.395
2025-12-24,488.48
2025-12-26,485.23
