Country,ISO Code,Year,Clean Energy (%)
Austria,AUT,1990,66.25
Austria,AUT,1991,65.09
Austria,AUT,1992,72.48
Austria,AUT,1993,74.16
Austria,AUT,1994,71.03
Austria,AUT,1995,70.68
Austria,AUT,1996,66.96
Austria,AUT,1997,68.03
Austria,AUT,1998,69.92
Austria,AUT,1999,70.91
Austria,AUT,2000,72.84
Austria,AUT,2001,69.27
Austria,AUT,2002,69.11
Austria,AUT,2003,60.79
Austria,AUT,2004,64.06
Austria,AUT,2005,63.51
Austria,AUT,2006,65.36
Austria,AUT,2007,68.71
Austria,AUT,2008,69.17
Austria,AUT,2009,71.26
Austria,AUT,2010,66.34
Austria,AUT,2011,65.77
Austria,AUT,2012,74.77
Austria,AUT,2013,78.23
Austria,AUT,2014,81.56
Austria,AUT,2015,77.03
Austria,AUT,2016,78.74
Austria,AUT,2017,76.09
Austria,AUT,2018,77.41
Austria,AUT,2019,77.3
Austria,AUT,2020,80.27
Austria,AUT,2021,79.11
Austria,AUT,2022,78.18
Austria,AUT,2023,84.82
Austria,AUT,2024,86.28
Belgium,BEL,1990,61.57
Belgium,BEL,1991,60.96
Belgium,BEL,1992,61.72
Belgium,BEL,1993,60.56
Belgium,BEL,1994,57.79
Belgium,BEL,1995,57.17
Belgium,BEL,1996,58.42
Belgium,BEL,1997,61.65
Belgium,BEL,1998,57.17
Belgium,BEL,1999,59.82
Belgium,BEL,2000,59.44
Belgium,BEL,2001,60.32
Belgium,BEL,2002,59.92
Belgium,BEL,2003,58.13
Belgium,BEL,2004,58.87
Belgium,BEL,2005,58.91
Belgium,BEL,2006,59.53
Belgium,BEL,2007,59.58
Belgium,BEL,2008,60.19
Belgium,BEL,2009,58.67
Belgium,BEL,2010,58.58
Belgium,BEL,2011,63.38
Belgium,BEL,2012,62.32
Belgium,BEL,2013,66.33
Belgium,BEL,2014,64.48
Belgium,BEL,2015,59.24
Belgium,BEL,2016,68.52
Belgium,BEL,2017,68.0
Belgium,BEL,2018,61.95
Belgium,BEL,2019,67.94
Belgium,BEL,2020,65.56
Belgium,BEL,2021,73.52
Belgium,BEL,2022,72.42
Belgium,BEL,2023,73.54
Belgium,BEL,2024,76.35
Bosnia Herzegovina,BIH,2000,48.8
Bosnia Herzegovina,BIH,2001,48.73
Bosnia Herzegovina,BIH,2002,48.84
Bosnia Herzegovina,BIH,2003,39.93
Bosnia Herzegovina,BIH,2004,46.98
Bosnia Herzegovina,BIH,2005,47.62
Bosnia Herzegovina,BIH,2006,43.94
Bosnia Herzegovina,BIH,2007,33.87
Bosnia Herzegovina,BIH,2008,33.2
Bosnia Herzegovina,BIH,2009,40.31
Bosnia Herzegovina,BIH,2010,47.43
Bosnia Herzegovina,BIH,2011,29.13
Bosnia Herzegovina,BIH,2012,30.05
Bosnia Herzegovina,BIH,2013,41.97
Bosnia Herzegovina,BIH,2014,34.88
Bosnia Herzegovina,BIH,2015,33.78
Bosnia Herzegovina,BIH,2016,31.68
Bosnia Herzegovina,BIH,2017,23.52
