entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,share_of_generation_pct
France,FRA,False,2020,Bioenergy,False,8.76,1.66
France,FRA,False,2020,Coal,False,3.09,0.59
France,FRA,False,2020,Gas,False,35.25,6.69
France,FRA,False,2020,Hydro,False,62.52,11.86
France,FRA,False,2020,Net imports,False,-45.04,-8.54
France,FRA,False,2020,Nuclear,False,353.83,67.11
France,FRA,False,2020,Other fossil,False,10.05,1.91
France,FRA,False,2020,Other renewables,False,0.61,0.12
France,FRA,False,2020,Solar,False,13.09,2.48
France,FRA,False,2020,Wind,False,40.05,7.6
Germany,DEU,False,2020,Bioenergy,False,50.93,8.99
Germany,DEU,False,2020,Coal,False,134.6,23.75
Germany,DEU,False,2020,Gas,False,95.0,16.76
Germany,DEU,False,2020,Hydro,False,18.72,3.3
Germany,DEU,False,2020,Net imports,False,-19.03,-3.36
Germany,DEU,False,2020,Nuclear,False,64.38,11.36
Germany,DEU,False,2020,Other fossil,False,21.28,3.75
Germany,DEU,False,2020,Other renewables,False,0.23,0.04
Germany,DEU,False,2020,Solar,False,49.5,8.73
Germany,DEU,False,2020,Wind,False,132.11,23.31
Italy,ITA,False,2020,Bioenergy,False,19.62,7.09
Italy,ITA,False,2020,Coal,False,13.38,4.83
Italy,ITA,False,2020,Gas,False,133.7,48.3
Italy,ITA,False,2020,Hydro,False,47.55,17.18
Italy,ITA,False,2020,Net imports,False,32.2,11.63
Italy,ITA,False,2020,Nuclear,False,0.0,0.0
Italy,ITA,False,2020,Other fossil,False,12.83,4.63
Italy,ITA,False,2020,Other renewables,False,6.03,2.18
Italy,ITA,False,2020,Solar,False,24.94,9.01
Italy,ITA,False,2020,Wind,False,18.76,6.78
France,FRA,False,2021,Bioenergy,False,9.58,1.74
France,FRA,False,2021,Coal,False,5.44,0.99
France,FRA,False,2021,Gas,False,33.31,6.05
France,FRA,False,2021,Hydro,False,59.54,10.82
France,FRA,False,2021,Net imports,False,-44.89,-8.16
France,FRA,False,2021,Nuclear,False,379.36,68.94
France,FRA,False,2021,Other fossil,False,10.1,1.84
France,FRA,False,2021,Other renewables,False,0.58,0.11
France,FRA,False,2021,Solar,False,15.28,2.78
France,FRA,False,2021,Wind,False,37.12,6.75
Germany,DEU,False,2021,Bioenergy,False,49.1,8.48
Germany,DEU,False,2021,Coal,False,164.65,28.45
Germany,DEU,False,2021,Gas,False,90.31,15.6
Germany,DEU,False,2021,Hydro,False,19.66,3.4
Germany,DEU,False,2021,Net imports,False,-18.58,-3.21
Germany,DEU,False,2021,Nuclear,False,69.13,11.94
Germany,DEU,False,2021,Other fossil,False,22.24,3.84
Germany,DEU,False,2021,Other renewables,False,0.24,0.04
Germany,DEU,False,2021,Solar,False,49.34,8.52
Germany,DEU,False,2021,Wind,False,114.16,19.72
Italy,ITA,False,2021,Bioenergy,False,19.06,6.68
Italy,ITA,False,2021,Coal,False,14.02,4.91
Italy,ITA,False,2021,Gas,False,144.01,50.44
Italy,ITA,False,2021,Hydro,False,45.39,15.9
Italy,ITA,False,2021,Net imports,False,42.79,14.99
Italy,ITA,False,2021,Nuclear,False,0.0,0.0
Italy,ITA,False,2021,Other fossil,False,11.13,3.9
Italy,ITA,False,2021,Other renewables,False,5.91,2.07
Italy,ITA,False,2021,Solar,False,25.04,8.77
Italy,ITA,False,2021,Wind,False,20.93,7.33
France,FRA,False,2022,Bioenergy,False,9.67,2.07
France,FRA,False,2022,Coal,False,4.16,0.89
France,FRA,False,2022,Gas,False,45.74,9.77
France,FRA,False,2022,Hydro,False,45.56,9.73
France,FRA,False,2022,Net imports,False,14.94,3.19
France,FRA,False,2022,Nuclear,False,294.73,62.94
France,FRA,False,2022,Other fossil,False,10.45,2.23
France,FRA,False,2022,Other renewables,False,0.6,0.13
France,FRA,False,2022,Solar,False,19.34,4.13
France,FRA,False,2022,Wind,False,38.0,8.12
Germany,DEU,False,2022,Bioenergy,False,48.6,8.57
Germany,DEU,False,2022,Coal,False,179.93,31.74
Germany,DEU,False,2022,Gas,False,79.05,13.94
Germany,DEU,False,2022,Hydro,False,17.62,3.11
Germany,DEU,False,2022,Net imports,False,-27.26,-4.81
Germany,DEU,False,2022,Nuclear,False,34.71,6.12
Germany,DEU,False,2022,Other fossil,False,21.65,3.82
Germany,DEU,False,2022,Other renewables,False,0.21,0.04
Germany,DEU,False,2022,Solar,False,60.3,10.64
Germany,DEU,False,2022,Wind,False,124.81,22.02
Italy,ITA,False,2022,Bioenergy,False,17.61,6.29
Italy,ITA,False,2022,Coal,False,22.61,8.07
Italy,ITA,False,2022,Gas,False,141.47,50.49
Italy,ITA,False,2022,Hydro,False,28.4,10.14
Italy,ITA,False,2022,Net imports,False,42.99,15.34
Italy,ITA,False,2022,Nuclear,False,0.0,0.0
Italy,ITA,False,2022,Other fossil,False,15.63,5.58
Italy,ITA,False,2022,Other renewables,False,5.84,2.08
Italy,ITA,False,2022,Solar,False,28.12,10.04
Italy,ITA,False,2022,Wind,False,20.49,7.31
France,FRA,False,2023,Bioenergy,False,10.48,2.03
France,FRA,False,2023,Coal,False,1.61,0.31
France,FRA,False,2023,Gas,False,30.02,5.81
France,FRA,False,2023,Hydro,False,55.9,10.82
France,FRA,False,2023,Net imports,False,-50.47,-9.76
France,FRA,False,2023,Nuclear,False,338.2,65.43
France,FRA,False,2023,Other fossil,False,9.43,1.82
France,FRA,False,2023,Other renewables,False,0.58,0.11
France,FRA,False,2023,Solar,False,22.59,4.37
France,FRA,False,2023,Wind,False,48.05,9.3
Germany,DEU,False,2023,Bioenergy,False,51.26,10.18
Germany,DEU,False,2023,Coal,False,124.78,24.77
Germany,DEU,False,2023,Gas,False,76.66,15.22
Germany,DEU,False,2023,Hydro,False,21.24,4.22
Germany,DEU,False,2023,Net imports,False,9.22,1.83
Germany,DEU,False,2023,Nuclear,False,7.22,1.43
Germany,DEU,False,2023,Other fossil,False,20.96,4.16
Germany,DEU,False,2023,Other renewables,False,0.19,0.04
Germany,DEU,False,2023,Solar,False,63.87,12.68
Germany,DEU,False,2023,Wind,False,137.51,27.3
Italy,ITA,False,2023,Bioenergy,False,16.01,6.12
Italy,ITA,False,2023,Coal,False,13.22,5.06
Italy,ITA,False,2023,Gas,False,119.02,45.51
Italy,ITA,False,2023,Hydro,False,40.52,15.5
Italy,ITA,False,2023,Net imports,False,51.25,19.6
Italy,ITA,False,2023,Nuclear,False,0.0,0.0
Italy,ITA,False,2023,Other fossil,False,12.79,4.89
Italy,ITA,False,2023,Other renewables,False,5.69,2.18
Italy,ITA,False,2023,Solar,False,30.71,11.74
Italy,ITA,False,2023,Wind,False,23.54,9.0
France,FRA,False,2024,Bioenergy,False,11.44,2.04
France,FRA,False,2024,Coal,False,1.02,0.18
France,FRA,False,2024,Gas,False,18.1,3.23
France,FRA,False,2024,Hydro,False,71.12,12.7
France,FRA,False,2024,Net imports,False,-89.85,-16.04
France,FRA,False,2024,Nuclear,False,380.45,67.92
France,FRA,False,2024,Other fossil,False,9.54,1.7
France,FRA,False,2024,Other renewables,False,0.57,0.1
France,FRA,False,2024,Solar,False,24.87,4.44
France,FRA,False,2024,Wind,False,43.0,7.68
Germany,DEU,False,2024,Bioenergy,False,51.08,10.36
Germany,DEU,False,2024,Coal,False,106.33,21.57
Germany,DEU,False,2024,Gas,False,78.41,15.9
Germany,DEU,False,2024,Hydro,False,23.83,4.83
Germany,DEU,False,2024,Net imports,False,26.27,5.33
Germany,DEU,False,2024,Nuclear,False,0.0,0.0
Germany,DEU,False,2024,Other fossil,False,20.39,4.14
Germany,DEU,False,2024,Other renewables,False,0.22,0.04
Germany,DEU,False,2024,Solar,False,74.13,15.04
Germany,DEU,False,2024,Wind,False,138.61,28.12
Italy,ITA,False,2024,Bioenergy,False,17.23,6.44
Italy,ITA,False,2024,Coal,False,3.95,1.48
Italy,ITA,False,2024,Gas,False,118.59,44.33
Italy,ITA,False,2024,Hydro,False,53.13,19.86
Italy,ITA,False,2024,Net imports,False,51.0,19.06
Italy,ITA,False,2024,Nuclear,False,0.0,0.0
Italy,ITA,False,2024,Other fossil,False,10.78,4.03
Italy,ITA,False,2024,Other renewables,False,5.67,2.12
Italy,ITA,False,2024,Solar,False,35.99,13.45
Italy,ITA,False,2024,Wind,False,22.17,8.29
