entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,share_of_generation_pct
Italy,ITA,False,2020,Coal,False,13.38,4.83
Italy,ITA,False,2020,Bioenergy,False,19.62,7.09
Italy,ITA,False,2020,Wind,False,18.76,6.78
Italy,ITA,False,2020,Solar,False,24.94,9.01
Italy,ITA,False,2020,Other renewables,False,6.03,2.18
Italy,ITA,False,2020,Other fossil,False,12.83,4.63
Italy,ITA,False,2020,Net imports,False,32.2,11.63
Italy,ITA,False,2020,Hydro,False,47.55,17.18
Italy,ITA,False,2020,Gas,False,133.7,48.3
Italy,ITA,False,2020,Nuclear,False,0.0,0.0
Italy,ITA,False,2021,Nuclear,False,0.0,0.0
Italy,ITA,False,2021,Wind,False,20.93,7.33
Italy,ITA,False,2021,Solar,False,25.04,8.77
Italy,ITA,False,2021,Other renewables,False,5.91,2.07
Italy,ITA,False,2021,Other fossil,False,11.13,3.9
Italy,ITA,False,2021,Net imports,False,42.79,14.99
Italy,ITA,False,2021,Hydro,False,45.39,15.9
Italy,ITA,False,2021,Gas,False,144.01,50.44
Italy,ITA,False,2021,Coal,False,14.02,4.91
Italy,ITA,False,2021,Bioenergy,False,19.06,6.68
Italy,ITA,False,2022,Wind,False,20.49,7.31
Italy,ITA,False,2022,Solar,False,28.12,10.04
Italy,ITA,False,2022,Other renewables,False,5.84,2.08
Italy,ITA,False,2022,Other fossil,False,15.63,5.58
Italy,ITA,False,2022,Nuclear,False,0.0,0.0
Italy,ITA,False,2022,Hydro,False,28.4,10.14
Italy,ITA,False,2022,Gas,False,141.47,50.49
Italy,ITA,False,2022,Coal,False,22.61,8.07
Italy,ITA,False,2022,Bioenergy,False,17.61,6.29
Italy,ITA,False,2022,Net imports,False,42.99,15.34
Italy,ITA,False,2023,Other renewables,False,5.69,2.18
Italy,ITA,False,2023,Wind,False,23.54,9.0
Italy,ITA,False,2023,Solar,False,30.71,11.74
Italy,ITA,False,2023,Other fossil,False,12.79,4.89
Italy,ITA,False,2023,Nuclear,False,0.0,0.0
Italy,ITA,False,2023,Net imports,False,51.25,19.6
Italy,ITA,False,2023,Hydro,False,40.52,15.5
Italy,ITA,False,2023,Gas,False,119.02,45.51
Italy,ITA,False,2023,Coal,False,13.22,5.06
Italy,ITA,False,2023,Bioenergy,False,16.01,6.12
Italy,ITA,False,2024,Bioenergy,False,17.23,6.44
Italy,ITA,False,2024,Coal,False,3.95,1.48
Italy,ITA,False,2024,Gas,False,118.59,44.33
Italy,ITA,False,2024,Hydro,False,53.13,19.86
Italy,ITA,False,2024,Net imports,False,51.0,19.06
Italy,ITA,False,2024,Nuclear,False,0.0,0.0
Italy,ITA,False,2024,Other fossil,False,10.78,4.03
Italy,ITA,False,2024,Other renewables,False,5.67,2.12
Italy,ITA,False,2024,Solar,False,35.99,13.45
Italy,ITA,False,2024,Wind,False,22.17,8.29
