Year,Average Renewable Generation (%)
1990,35.63156862745098
1991,36.567156862745094
1992,37.029607843137256
1993,38.466764705882355
1994,38.71362745098039
1995,39.37735294117647
1996,40.384509803921574
1997,40.915392156862744
1998,41.53509803921568
1999,41.58176470588236
2000,40.93774774774775
2001,41.50018018018019
2002,40.71594594594595
2003,40.50675675675676
2004,42.534414414414414
2005,42.11438596491228
2006,42.235614035087714
2007,41.609210526315785
2008,42.974649122807016
2009,43.430263157894736
2010,45.56087719298246
2011,44.655789473684216
2012,46.87394736842106
2013,49.49026315789474
2014,50.67447368421053
2015,51.077456140350876
2016,51.656228070175445
2017,51.515263157894736
2018,53.82377192982456
2019,55.250263157894736
2020,56.1930701754386
2021,57.6330701754386
2022,55.456315789473685
2023,60.00868421052631
2024,63.19798245614035
