lat,lon,language
53.40272,-4.35182,Bilingual
53.31136,-4.63969,English with significant Welsh
53.25611,-4.32027,Bilingual
53.22821,-4.17713,Bilingual
53.2912,-4.50507,Bilingual
53.18269,-4.06485,Bilingual
52.85275,-4.58159,Bilingual
53.15065,-4.19131,Bilingual
53.0537,-4.27877,Bilingual
52.93188,-4.13114,Bilingual
52.99185,-3.93811,Welsh medium
52.58469,-4.08954,Bilingual
52.86214,-4.1114,Bilingual
53.21778,-4.15233,English with significant Welsh
53.22007,-4.145,Bilingual
53.14589,-4.26413,Bilingual
52.88211,-4.42257,Bilingual
53.31561,-3.82567,English medium
53.28683,-3.83745,English medium
53.13414,-3.78408,Bilingual
53.31157,-3.7789,Welsh medium
53.28534,-3.57753,English medium
53.29097,-3.71745,English medium
53.28578,-3.70518,English medium
53.32097,-3.47209,English medium
53.32656,-3.40687,English medium
53.25509,-3.43819,Welsh medium
53.1855,-3.40801,English medium
52.97277,-3.17047,Bilingual
53.11461,-3.29766,Bilingual
53.18848,-3.04164,English medium
53.16107,-3.14081,English medium
53.1719,-3.08316,English medium
53.27653191,-3.21527115,English medium
53.17731,-2.93915,English medium
53.11879,-3.03581,English medium
53.16223,-3.14044,Welsh medium
53.23918,-3.13671,English medium
53.223,-3.0788,English medium
53.17346,-3.10397,English medium
53.24083,-3.12777,English medium
53.01542,-3.05602,English medium
53.05092,-2.96964,Welsh medium
53.07504,-3.02413,English medium
53.11314,-2.93769,English medium
52.98861,-3.0483,English medium
53.05496,-2.97351,English medium
53.04309,-3.01142,English medium
53.03785,-2.99679,English medium
52.95292,-2.86865,English medium
52.44206,-3.54518,English with significant Welsh
52.50751,-3.32134,English medium
52.27006256,-3.0020635,English medium
52.66559,-3.13671,English medium
51.76899,-3.76756,English medium
51.95159,-3.38414,English with significant Welsh
52.02837,-3.20231,English medium
51.861,-3.14089,English medium
52.23949,-4.25554,Bilingual
52.08777,-4.65591,Bilingual
52.41578,-4.05941,English medium
52.40966,-4.0676,Bilingual
51.99643,-4.98822,English with significant Welsh
51.67311,-4.71333,English medium
51.68536853,-4.92320787,English medium
51.72421,-5.02319,English medium
51.79753,-4.98148,English medium
51.79598,-3.98581,Bilingual
51.67905,-4.14582,English medium
51.68673,-4.18215,Bilingual
51.68605,-4.25469,English medium
51.69437,-4.13759,English medium
51.73453,-3.49313,Welsh medium
