countrycode,country,year,gdppc,log_gdppc
BRA,Brazil,1850,867,6.76503897678054
BRA,Brazil,1851,926,6.83087423464618
BRA,Brazil,1852,901,6.80350525760834
BRA,Brazil,1853,846,6.74051935960622
BRA,Brazil,1854,818,6.70686233660275
BRA,Brazil,1855,824,6.71417052990947
BRA,Brazil,1856,854,6.74993119378857
BRA,Brazil,1857,915,6.81892406527552
BRA,Brazil,1858,974,6.88141130364254
BRA,Brazil,1859,966,6.87316383421252
BRA,Brazil,1860,991,6.89871453432999
BRA,Brazil,1861,982,6.88959130835447
BRA,Brazil,1862,936,6.84161547647759
BRA,Brazil,1863,956,6.8627579130514
BRA,Brazil,1864,971,6.87832646829133
BRA,Brazil,1865,1042,6.94889722231331
BRA,Brazil,1866,1081,6.98564181763921
BRA,Brazil,1867,1170,7.0647590277918
BRA,Brazil,1868,1170,7.0647590277918
BRA,Brazil,1869,1170,7.0647590277918
BRA,Brazil,1870,1084,6.98841318199959
BRA,Brazil,1871,1084,6.98841318199959
BRA,Brazil,1872,1122,7.02286808608264
BRA,Brazil,1873,1089,6.99301512293296
BRA,Brazil,1874,1106,7.00850518208228
BRA,Brazil,1875,1122,7.02286808608264
BRA,Brazil,1876,1081,6.98564181763921
BRA,Brazil,1877,1050,6.95654544315157
BRA,Brazil,1878,1101,7.00397413672268
BRA,Brazil,1879,1109,7.01121398735037
BRA,Brazil,1880,1058,6.96413561241825
BRA,Brazil,1881,1068,6.97354301952014
BRA,Brazil,1882,1093,6.99668148817654
BRA,Brazil,1883,1063,6.96885037834195
BRA,Brazil,1884,1135,7.0343879299155
BRA,Brazil,1885,1055,6.96129604591017
BRA,Brazil,1886,1089,6.99301512293296
BRA,Brazil,1887,1017,6.92461239604856
BRA,Brazil,1888,977,6.88448665204278
BRA,Brazil,1889,991,6.89871453432999
BRA,Brazil,1890,1084,6.98841318199959
BRA,Brazil,1891,1152,7.04925484125584
BRA,Brazil,1892,999,6.90675477864855
BRA,Brazil,1893,850,6.74523634948436
BRA,Brazil,1894,850,6.74523634948436
BRA,Brazil,1895,1007,6.91473089271856
BRA,Brazil,1896,915,6.81892406527552
BRA,Brazil,1897,901,6.80350525760834
BRA,Brazil,1898,923,6.82762923450285
BRA,Brazil,1899,905,6.80793494369993
BRA,Brazil,1900,874,6.77308037565554
BRA,Brazil,1901,940,6.84587987526405
BRA,Brazil,1902,921,6.82546003625531
BRA,Brazil,1903,920,6.82437367004309
BRA,Brazil,1904,918,6.82219739062049
BRA,Brazil,1905,925,6.82979373751243
BRA,Brazil,1906,993,6.90073066404517
BRA,Brazil,1907,972,6.87935580446044
BRA,Brazil,1908,945,6.85118492749374
BRA,Brazil,1909,999,6.90675477864855
BRA,Brazil,1910,990,6.89770494312864
BRA,Brazil,1911,1076,6.98100574072173
BRA,Brazil,1912,1042,6.94889722231331
BRA,Brazil,1913,1046,6.95272864462487
BRA,Brazil,1914,1004,6.91174730025167
BRA,Brazil,1915,1028,6.93537044601511
BRA,Brazil,1916,1036,6.94312242281943
BRA,Brazil,1917,1086,6.99025650049388
BRA,Brazil,1918,1041,6.94793706861497
BRA,Brazil,1919,1154,7.05098944706805
BRA,Brazil,1920,1242,7.12447826249342
BRA,Brazil,1921,1242,7.12447826249342
BRA,Brazil,1922,1301,7.17088847851251
BRA,Brazil,1923,1347,7.20563517641036
BRA,Brazil,1924,1320,7.18538701558042
BRA,Brazil,1925,1298,7.16857989726404
BRA,Brazil,1926,1299,7.1693500166706
BRA,Brazil,1927,1366,7.21964204013074
BRA,Brazil,1928,1492,7.30787278076371
BRA,Brazil,1929,1465,7.28961052145117
BRA,Brazil,1930,1350,7.20785987143248
BRA,Brazil,1931,1294,7.16549347506085
BRA,Brazil,1932,1312,7.17930796950403
BRA,Brazil,1933,1387,7.23489842031483
BRA,Brazil,1934,1471,7.29369772060144
BRA,Brazil,1935,1482,7.30114780585603
BRA,Brazil,1936,1591,7.37211802833779
BRA,Brazil,1937,1610,7.38398945797851
BRA,Brazil,1938,1643,7.40427911803727
BRA,Brazil,1939,1627,7.39449310721904
BRA,Brazil,1940,1610,7.38398945797851
BRA,Brazil,1941,1683,7.42833319419081
BRA,Brazil,1942,1584,7.36770857237437
BRA,Brazil,1943,1763,7.47477218239787
BRA,Brazil,1944,1785,7.48717369421374
BRA,Brazil,1945,1792,7.49108759353488
BRA,Brazil,1946,1934,7.56734567601324
BRA,Brazil,1947,1956,7.57865685059476
BRA,Brazil,1948,2096,7.64778604544093
BRA,Brazil,1949,2204,7.69802917027281
BRA,Brazil,1950,2236,7.71244383427499
BRA,Brazil,1951,2279,7.73149202924568
BRA,Brazil,1952,2377,7.77359446736019
BRA,Brazil,1953,2418,7.79069603117474
BRA,Brazil,1954,2531,7.83636976054512
BRA,Brazil,1955,2675,7.89170465933011
BRA,Brazil,1956,2672,7.89058253465654
BRA,Brazil,1957,2793,7.93487156594518
BRA,Brazil,1958,3005,8.00803284696931
BRA,Brazil,1959,3201,8.07121853996986
BRA,Brazil,1960,3398,8.13094230223188
BRA,Brazil,1961,3585,8.18451375303372
BRA,Brazil,1962,3711,8.2190566610606
BRA,Brazil,1963,3623,8.19505769089508
BRA,Brazil,1964,3637,8.19891444498699
BRA,Brazil,1965,3617,8.1934002319521
BRA,Brazil,1966,3747,8.22871079879369
BRA,Brazil,1967,3795,8.24143968982973
BRA,Brazil,1968,4050,8.30647216010059
BRA,Brazil,1969,4313,8.36938899664784
BRA,Brazil,1970,4635,8.44139147799996
BRA,Brazil,1971,5024,8.52198170814804
BRA,Brazil,1972,5480,8.60886037994206
BRA,Brazil,1973,6086,8.71374633045692
BRA,Brazil,1974,6416,8.76655014954635
BRA,Brazil,1975,6582,8.79209392950328
BRA,Brazil,1976,7079,8.86488793377419
BRA,Brazil,1977,7248,8.88848084772282
BRA,Brazil,1978,7425,8.9126079636709
BRA,Brazil,1979,7736,8.95364003713313
BRA,Brazil,1980,8249,9.01784725986073
BRA,Brazil,1981,7709,8.95014375645926
BRA,Brazil,1982,7587,8.93419153533808
BRA,Brazil,1983,7203,8.88225288488936
BRA,Brazil,1984,7438,8.91435727448502
BRA,Brazil,1985,7862,8.96979630598181
BRA,Brazil,1986,8281,9.0217190130337
BRA,Brazil,1987,8402,9.03622505172933
BRA,Brazil,1988,8230,9.01554129367112
BRA,Brazil,1989,8333,9.02797881438221
BRA,Brazil,1990,7842,8.96724918285228
BRA,Brazil,1991,7888.0485,8.97310404484369
BRA,Brazil,1992,7812.7943,8.96351796373515
BRA,Brazil,1993,8166.2356,9.00776332279813
BRA,Brazil,1994,8615.6887,9.06134008772854
BRA,Brazil,1995,8951.6944,9.09959811178618
BRA,Brazil,1996,9124.5161,9.11872014690756
BRA,Brazil,1997,9409.9465,9.14952254712224
BRA,Brazil,1998,9419.1079,9.15049566032574
BRA,Brazil,1999,9441.7589,9.1528975659359
BRA,Brazil,2000,9834.4244,9.19364420343685
BRA,Brazil,2001,9953.3095,9.2056603879145
BRA,Brazil,2002,10245.0689,9.23455178588221
BRA,Brazil,2003,10354.5954,9.24518570015468
BRA,Brazil,2004,10949.6601,9.30106369366697
BRA,Brazil,2005,11305.7717,9.33306864421339
BRA,Brazil,2006,11766.6057,9.37302077293674
BRA,Brazil,2007,12500.0064,9.43348443529026
BRA,Brazil,2008,13164.0113,9.48524196846456
BRA,Brazil,2009,13180.8909,9.48652340061274
BRA,Brazil,2010,14215.6126,9.56209611847837
BRA,Brazil,2011,14831,9.60447486374196
BRA,Brazil,2012,14985,9.61480497975076
BRA,Brazil,2013,15306,9.63600018736987
BRA,Brazil,2014,15258,9.63285923465018
BRA,Brazil,2015,15826,9.66940943616914
BRA,Brazil,2016,13873,9.53769978408073
BRA,Brazil,2017,13951.5999,9.54334946884537
BRA,Brazil,2018,14033.5656,9.54920728193428
CHN,China,1821,843,6.73696695800186
CHN,China,1822,843.333333333333,6.73736229305346
CHN,China,1823,843.666666666667,6.73775747187701
CHN,China,1824,844,6.73815249459596
CHN,China,1825,844.333333333333,6.73854736133357
CHN,China,1826,844.666666666667,6.73894207221298
CHN,China,1827,845,6.73933662735717
CHN,China,1828,845.333333333333,6.73973102688901
CHN,China,1829,845.666666666667,6.74012527093117
CHN,China,1830,846,6.74051935960622
CHN,China,1831,846.3,6.74087390667606
CHN,China,1832,846.6,6.74122832808682
