year,Brazil,China,Germany,India,Japan,Nigeria,United Kingdom,United States
1821,,6.736966958001855,7.361375428977349,6.842683282238422,7.24422751560335,,8.104099056143582,7.906616180267318
1822,,6.737362293053456,7.376637590130479,6.843536706655486,7.245248993716898,,8.106212902619962,7.934168705319458
1823,,6.737757471877014,7.391670315027052,6.844389403360317,7.24626942947756,,8.119398589612294,7.923052333319947
1824,,6.738152494595957,7.406480399862012,6.845241373592895,7.247288825010476,,8.158229916959494,7.950161735254613
1825,,6.738547361333565,7.421074343264129,6.84609261859003,7.248307182434293,,8.166500319155052,7.971687230040888
1826,,6.738942072212975,7.435458363418014,6.846943139585379,7.249324503861194,,8.098642843759418,7.978760645916614
1827,,6.739336627357174,7.449638413972074,6.847792937809454,7.250340791396919,,8.160232492367689,7.98271756468685
1828,,6.739731026889006,7.463620198834265,6.848642014489631,7.251356047140797,,8.149312843635345,7.98271756468685
1829,,6.740125270931173,7.477409185947668,6.849490370850162,7.25237027318577,,8.144098463338524,7.949254705713971
1830,,6.740519359606223,7.491010620129149,6.850338008112186,7.253383471618415,,8.174702882469461,8.019335913967154
1831,,6.74087390667606,7.504429535046556,6.851184927493743,7.254395644518977,,8.173293438966228,8.078865081807589
1832,,6.741228328086823,7.517670764402878,6.851079101788581,7.255406793961386,,8.192016914536875,8.114492259450738
1833,,6.741582623927553,7.530738952389576,6.850973264883153,7.256416922013293,,8.188411308079031,8.148893686168071
1834,,6.741936794287197,7.543638563465651,6.850867416775088,7.257426030736084,,8.19946419761216,8.100159261805237
1835,,6.742290839254605,7.556373891513948,6.850761557462016,7.258434122184915,,8.258681496264236,8.137306937216911
1836,,6.742644758918536,7.568949068421739,6.850655686941565,7.259441198408731,,8.278174290943738,8.15186214845917
1837,,6.742998553367654,7.581368072128438,6.850549805211358,7.260447261450292,,8.257644958208228,8.119862429625334
1838,,6.743352222690527,7.593634734179693,6.850443912269023,7.261452313346201,,8.284756593190435,8.11063869013475
1839,,6.743705766975631,7.60575274682376,6.850338008112186,7.262456356126924,,8.263848131368906,8.158141024119752
1840,,6.744059186311348,7.617725669683012,6.850232092738471,7.26345939181682,,8.29853954537488,8.107545106847754
1841,,6.745118695504581,7.629556936030774,6.8501261661455,7.264461422434159,,8.267192185932146,8.087200117162732
1842,,6.746177083326082,7.641249858701153,6.850479211162407,7.265462449991155,,8.244859395911256,8.07806763359946
1843,,6.747234352147035,7.652807635657338,6.850832131582516,7.266462476493979,,8.281470857895167,8.093897010420623
1844,,6.74829050433111,7.664233355241767,6.851184927493743,7.267461503942795,,8.353497098745448,8.147033912524348
1845,,6.749345542234495,7.675530001129724,6.851537598983908,7.268459534331774,,8.386400901166214,8.162182918286755
1846,,6.750399468205931,7.686700457006266,6.851890146140741,7.269456569649125,,8.374246182096304,8.168033026378769
1847,,6.751452284586736,7.697747510984793,6.852242569051878,7.269496617044353,,8.350902451694811,8.193943076014957
1848,,6.752503993710846,7.708673859784219,6.852594867804862,7.26953666283585,,8.380456667842767,8.219545035453883
1849,,6.753554597904837,7.719482112680388,6.852947042487142,7.269576707023746,,8.394347361417392,8.193232343931022
1850,6.765038976780541,6.754604099487962,7.730174795246222,6.853299093186078,7.269616749608169,,8.37378460812088,8.197489179021707
1851,6.830874234646179,6.75966122073741,7.716015266642587,6.853299093186078,7.274618149308359,,8.406708458240965,8.237050201860082
1852,6.803505257608338,6.764692896140299,7.728855823852543,6.847899111828771,7.279594659440641,,8.439447842791385,8.286828228359747
1853,6.740519359606223,6.769699380486169,7.719573989259581,6.842469812283507,7.284546526505694,,8.46252579007393,8.352903282895737
1854,6.706862336602747,6.774680924756795,7.740664401917241,6.83701087445638,7.289473993360301,,8.498825534058053,8.355626843362778
1855,6.714170529909472,6.779637776201694,7.724446645633537,6.831521972982548,7.294377299288821,,8.465478755729558,8.33362778936741
1856,6.74993119378857,6.784570178411759,7.799753318287247,6.826002777109878,7.299256680072915,,8.519789817263504,8.354114670082035
1857,6.818924065275521,6.789478371391084,7.840312983320164,6.82045295057934,7.304112368059574,,8.520985989654934,8.3323913131666
1858,6.881411303642535,6.794362591627046,7.827639546366422,6.814872151502081,7.308944592227513,,8.492695559815838,8.337328071110266
1859,6.873163834212518,6.799223072158676,7.822044008185619,6.809260032233038,7.31375357825196,,8.523374050491318,8.363753298919804
1860,6.898714534329988,6.804060042643372,7.868254265520613,6.803616239240991,7.318539548567902,,8.534246945982066,8.389790272702799
1861,6.889591308354466,6.80887372942202,7.833203948641057,6.79794041297493,7.323302722431814,,8.521981708148035,8.36913447782432
1862,6.841615476477592,6.813664355582541,7.871692664323645,6.792219715866233,7.328043315981939,,8.46884293047519,8.399960344378334
1863,6.862757913051401,6.818432141021935,7.933079771880415,6.786466103996466,7.332761542297137,,8.549660381553739,8.46243689723419
1864,6.878326468291325,6.823177302506839,7.950502434808851,6.780679196414161,7.337457611454347,,8.566935283311052,8.494771043369425
1865,6.948897222313312,6.827900053732672,7.944846711001996,6.774858605515705,7.342131730584722,,8.581669210600602,8.441857216344705
1866,6.985641817639208,6.832600605381376,7.945555428253489,6.769003936889558,7.346784103928442,,8.603554357064281,8.43378479950983
1867,7.064759027791802,6.837279165177812,7.942717540573791,6.763114789155871,7.351414932888271,,8.598588829620232,8.46623196820274
1868,7.064759027791802,6.841935937944843,7.994969522697877,6.757190753801374,7.356024416081866,,8.636929873018572,8.4796694184452
1869,7.064759027791802,6.84657112565714,7.994632311431825,6.751231415009323,7.360612749392902,,8.636752426473876,8.50575441738091
1870,6.988413181999592,6.851184927493743,7.983098940710892,6.745236349484363,7.365180126021013,,8.67060073804555,8.476996334789899
1871,6.988413181999592,6.849128659828375,7.971085753505607,6.747586526829315,7.369520377034307,,8.665095821339733,8.500800685441364
1872,7.022868086082641,6.847068155212495,8.032035314398824,6.74993119378857,7.373841871646913,,8.660254034256889,8.515588865172834
1873,6.99301512293296,6.845003396149528,8.066521490469993,6.752270376141742,7.378144771273152,,8.672828482947686,8.54026263371965
1874,7.00850518208228,6.842934365034293,8.12740456269308,6.754604099487962,7.382429235252611,,8.678291111758565,8.510165998429626
1875,7.022868086082641,6.840861044152107,8.121480374750751,6.756932389247553,7.389259594938911,,8.691146498539675,8.537998766572418
1876,6.985641817639208,6.838783415677874,8.101980731853192,6.759255270663693,7.396043617134566,,8.689127655323706,8.527111204915522
1877,6.956545443151569,6.836701461675163,8.083637203141548,6.761572768804055,7.402781926317027,,8.686598356276965,8.536738844520906
1878,7.00397413672268,6.834615164095283,8.117312461601975,6.763884908562435,7.40947513442433,,8.679141958402255,8.556215115581528
1879,7.011213987350367,6.83252450477634,8.081475040137052,6.766191714660351,7.416123841188586,,8.66319648553608,8.650985629965307
1880,6.964135612418245,6.830429465442291,8.062747901086354,6.76849321164863,7.422728634458454,,8.69901462316851,8.741253058784634
1881,6.97354301952014,6.828330027701985,8.07961802938984,6.77078942390898,7.429290090511036,,8.72355674269043,8.751069088522291
1882,6.996681488176539,6.826226173048193,8.08886878916199,6.773080375655535,7.435808774353609,,8.743372131273969,8.788417413364092
1883,6.968850378341948,6.824117882856629,8.13622555490846,6.775366090936392,7.442285240015586,,8.74257423767064,8.788613434142922
1884,7.034387929915503,6.822005138384966,8.15248607578024,6.777646593635117,7.448720030831072,,8.735525185733225,8.783110275600393
1885,6.961296045910167,6.819887920771828,8.16961956172385,6.806829360392176,7.455113679712404,,8.721276239991704,8.76781854678537
1886,6.99301512293296,6.817766211035785,8.16735198705607,6.773080375655535,7.513099241856614,,8.727454116899434,8.775195711136426
1887,6.92461239604856,6.815639990074331,8.195885391314796,6.815639990074331,7.521604620218558,,8.757469141470748,8.79739483509392
1888,6.884486652042782,6.834467483212305,8.224699561967235,6.822197390620491,7.452152187891822,,8.792549614177382,8.771414235837202
1889,6.898714534329988,6.852947042487142,8.240648863374913,6.792344427470809,7.469958459585499,,8.83579236650274,8.810711639047655
1890,6.988413181999592,6.871091294610546,8.261009786023827,6.836259277277067,7.524871701558369,,8.83127373772255,8.804557773473276
1891,7.049254841255837,6.871920825972921,8.2482674474469,6.736966958001855,7.467220827060689,,8.821879862683842,8.826310205273181
1892,6.906754778648554,6.872749669783322,8.277920258172143,6.813444599510896,7.518445368756564,,8.787678239039497,8.898920534921562
1893,6.745236349484363,6.873577827180551,8.316055720364643,6.836259277277067,7.513405819376775,,8.777401286867264,8.829701955274302
1894,6.745236349484363,6.874405299300583,8.328692583545568,6.8501261661455,7.609078296119054,,8.832149906002899,8.781137499265178
1895,6.914730892718563,6.875232087276577,8.361941906144946,6.824373670043086,7.61175604570366,,8.853093836138493,8.876196319030834
1896,6.818924065275521,6.876058192238882,8.38206051742474,6.745236349484363,7.551944961373097,,8.88336291691676,8.83719824225223
1897,6.803505257608338,6.87688361531505,8.394573477868327,6.911747300251674,7.55198056169615,,8.885855993000296,8.910091885173548
1898,6.827629234502852,6.877708357629841,8.420682291035394,6.911747300251674,7.711036090738268,,8.922658299524402,8.91286533122243
1899,6.807934943699926,6.878532420305234,8.440528106480752,6.829793737512425,7.651860367693956,,8.952734767106872,8.982077438960397
1900,6.773080375655535,6.879355804460439,8.467582690862903,6.86171134048073,7.660703495245738,,8.935113740791747,8.991882226982533
1901,6.84587987526405,6.873069720994247,8.428580533059634,6.876264611890766,7.678564551181169,,8.924789360533357,9.079133498419758
1902,6.825460036255307,6.866743872585191,8.436200032206706,6.950814768442584,7.607265720983027,,8.940498217652733,9.069263785835465
1903,6.824373670043086,6.860377752933115,8.475328987317539,6.958448393297656,7.69797091086251,,8.920255414908091,9.09844163979871
1904,6.822197390620491,6.853970846006311,8.499843553081124,6.956545443151569,7.686617250493874,,8.916640227198839,9.066892360387383
1905,6.829793737512425,6.847522625790508,8.506738733512378,6.932447891572509,7.655035941774947,,8.936298185228436,9.118371125035308
1906,6.900730664045173,6.841032556029725,8.521981708148035,6.953684210870537,7.753184523164451,,8.9595686535445,9.208349671846847
1907,6.879355804460439,6.834500089958643,8.551014739891748,6.88653164253051,7.765662588175775,,8.96890555068972,9.20538250202494
1908,6.851184927493743,6.827924670026198,8.553910774351401,6.894670039433482,7.7651099426305,,8.917444732471514,9.102306965102962
1909,6.906754778648554,6.821305727610008,8.560252680876685,7.017506142941256,7.754996509194454,,8.93022956502072,9.189945625812221
1910,6.897704943128636,6.814642682721299,8.582418976333944,7.01301578963963,7.748018122997185,,8.951310542097564,9.173342587086118
1911,6.98100574072173,6.807934943699926,8.600062669238532,7.00397413672268,7.783130178600081,,8.971321471503682,9.183574264430167
1912,6.948897222313312,6.851184927493743,8.633552992532433,7.001245622069476,7.791402770622882,,8.981430225767635,9.20799433217561
1913,6.952728644624869,6.892641641172089,8.668196064952765,6.978213742630698,7.795903704910012,,9.013351778138825,9.221079441198398
1914,6.911747300251674,6.893783121415254,8.492080490601163,7.029972911706386,7.765485913940975,,9.003439196207838,9.115630931691733
1915,6.93537044601511,6.894923300166758,8.438366410870266,7.00397413672268,7.828860323433718,,9.064042114358884,9.123057336272483
1916,6.943122422819428,6.896062180391091,8.450625947144124,7.031741258763128,7.947780050775893,,9.071308163280625,9.232328834084088
1917,6.990256500493881,6.89719976504262,8.45638105201948,7.01301578963963,7.986377694824717,,9.067047202149707,9.186977370061644
1918,6.947937068614969,6.898336057065645,8.46695197497949,6.875232087276577,7.997490953490279,,9.062999784077473,9.256394014330507
1919,7.050989447068045,6.89947105939444,8.324093761450404,7.003065458786462,8.076920900983067,,8.936561204693394,9.254336233248507
1920,7.124478262493424,6.900604774953296,8.402231172946555,6.919683849847411,7.997650450409827,,8.85609105525229,9.225517327131646
1921,7.124478262493424,6.901737206656574,8.498214224818435,6.986566459406427,8.084670948186327,,8.823500727991183,9.177288166400514
1922,7.170888478512505,6.902868357408742,8.577347114235984,7.018401799069201,8.084510040250935,,8.908018322784887,9.211311430346356
1923,7.205635176410364,6.903998230104425,8.38548870041881,6.975413927455952,8.084423626319733,,8.934191535338075,9.31210630485533
1924,7.185387015580416,6.905126827628445,8.536799721055155,7.01301578963963,8.106622230598541,,8.967504187316237,9.317104072709208
1925,7.168579897264035,6.90625415285587,8.635864721133736,7.014814351275545,8.135743588664292,,9.011767474596178,9.3191743282487
1926,7.1693500166706,6.907380208652054,8.656259239539235,7.036148493750536,8.11926142629098,,8.97055917950895,9.36286983548502
1927,7.219642040130736,6.908504997872683,8.745443680098592,7.025538314638521,8.115787492745223,,9.044521887281242,9.352915562151944
1928,7.307872780763706,6.909628523363818,8.782476268924539,7.025538314638521,8.175861563052454,,9.052399183907607,9.345838367069799
1929,7.289610521451167,6.910750787961936,8.772920092626467,7.05617528410041,8.206607270248314,,9.079320109537779,9.38884091297833
1930,7.207859871432476,6.919683849847411,8.753529336516431,7.053585727193677,8.111960516293435,,9.067970030684457,9.277529947835816
1931,7.165493475060845,6.922643891475888,8.669227347271736,7.032624261028007,8.10796421884879,,9.010669176847115,9.203412771467104
1932,7.179307969504034,6.946013991099227,8.58653266949485,7.029972911706386,8.168851401532178,,9.012620873002131,9.033663382595515
1933,7.234898420314831,6.827629234502852,8.64259160081057,7.017506142941256,8.23927706318249,,9.037295651962438,8.993206787079684
1934,7.293697720601438,6.842683282238422,8.724207360800564,7.01301578963963,8.231026716532678,,9.098179005087852,9.067288580978563
1935,7.301147805856032,6.914730892718563,8.789812386190972,6.988413181999592,8.249392958809514,,9.131729971394272,9.177903808749672
1936,7.372118028337787,6.970730078143525,8.867145589594143,7.01301578963963,8.290429495277873,,9.171599543659752,9.265587019554992
1937,7.383989457978509,6.941190055068374,8.918382504661613,6.982862751468942,8.312606958008514,,9.201400530406708,9.332124184950533
1938,7.404279118037268,6.910750787961936,8.982184278838428,6.970730078143525,8.35628263837556,,9.209139651399664,9.261616358213947
1939,7.394493107219038,6.893656354602635,9.061492275239766,6.97914527506881,8.477158969854703,,9.208538750029554,9.321116525558402
1940,7.383989457978509,6.876264611890766,9.060911858484253,6.996681488176539,8.493391874004283,,9.29908358181057,9.393086438653066
1941,7.428333194190806,6.858565034791365,9.116359308505288,7.00397413672268,8.514437397702439,,9.386476169683052,9.514392842771057
1942,7.367708572374371,6.840546529288687,9.121399862679535,6.986566459406427,8.504825019940773,,9.407222080101468,9.607091705180643
1943,7.47477218239787,6.822197390620491,9.147294070258548,7.014814351275545,8.481700719725739,,9.420925394042996,9.683477673637766
1944,7.487173694213739,6.803505257608338,9.179674957665297,6.99301512293296,8.479721827259377,,9.37610901542907,9.740929045784595
1945,7.491087593534876,6.784457062637643,8.881141619321468,6.964135612418245,8.210034678463579,,9.327856705404022,9.709754236602711
1946,7.56734567601324,6.765038976780541,8.170185652879642,6.898714534329988,7.927097061752161,,9.282754052485227,9.603899315501383
1947,7.578656850594762,6.745236349484363,8.264363329731667,6.892641641172089,7.905054405949757,,9.261698664251325,9.568821986901597
1948,7.647786045440933,6.725033642166843,8.415603335654604,6.890609120147166,7.957607903015699,,9.282940064390527,9.597928779799561
1949,7.698029170272805,6.704414354964107,8.562357743370612,6.902742737158593,7.960941239435457,,9.313618721429684,9.56076284992412
1950,7.71244383427499,6.683360945766275,8.730043953245016,6.894670039433482,8.026823576217629,7.090076835776092,9.311180686902254,9.631678829240638
1951,7.731492029245684,6.856461984594587,8.810459642161918,6.900730664045173,8.128290171607052,7.140453043101158,9.337325383730672,9.688126141663973
1952,7.773594467360194,6.953684210870537,8.889721799278137,6.910750787961936,8.222553638396958,7.187657164114956,9.33282345619073,9.70771594801777
1953,7.790696031174738,7.053585727193677,8.9641840463529,6.953684210870537,8.279950715722526,7.189167738420323,9.368113055848724,9.736074312475292
1954,7.836369760545124,6.955592608396297,9.031692060548524,6.976348070447749,8.32263709695394,7.231287004327616,9.404672841436273,9.711842668281289
1955,7.891704659330107,7.020190708311925,9.131297164635729,6.982862751468942,8.393216011596527,7.229113877793302,9.43675855582405,9.76249985923515
1956,7.890582534656536,7.080867896690782,9.194820560318146,7.018401799069201,8.455104999102815,7.1770187659099,9.444542550647126,9.764053056544551
1957,7.934871565945177,7.085901464365611,9.24454854330592,6.988413181999592,8.51699317141357,7.187657164114956,9.455558477608703,9.76457025334946
1958,8.008032846969307,7.067319848653476,9.281637253858216,7.039660349862076,8.564649132572534,7.146772179452637,9.449199779730396,9.73778709675841
1959,8.071218539969863,7.018401799069201,9.344871264933788,7.04141166379481,8.642062173462106,7.160845906664299,9.482959566750917,9.792555991828847
1960,8.130942302231878,6.963189985870238,9.415890054889344,7.090076835776092,8.756839814829462,7.175489713624222,9.53097354456765,9.801288700215881
1961,8.184513753033722,6.773080375655535,9.447386828459384,7.09672137849476,8.861491864286915,7.180069874302796,9.555205857955418,9.80780230240172
1962,8.219056661060598,6.830874234646179,9.480825419599443,7.09672137849476,8.937743936942443,7.207118856207756,9.556126244582746,9.850930301797453
1963,8.195057690895077,6.941190055068374,9.500544261971474,7.124478262493424,9.008958312443486,7.267525427828172,9.587611745713565,9.878887435667895
1964,8.19891444498699,7.049254841255837,9.551231402759107,7.1770187659099,9.10886120302633,7.280008252884188,9.632400353656184,9.921327470664458
1965,8.193400231952097,7.133295954896068,9.591649390206587,7.113956109566034,9.15472194821317,7.316548177182976,9.651494322492853,9.970678802076451
1966,8.228710798793687,7.13966033596492,9.613402595468036,7.102499355774649,9.246672301223573,7.254177846456518,9.665039989962045,10.02255864717714
1967,8.24143968982973,7.120444372392488,9.61440449916872,7.159291904797564,9.341368634382587,7.05617528410041,9.681468368883628,10.03635622561055
1968,8.306472160100585,7.071573364211532,9.662879887470275,7.162397497355718,9.451323841418724,7.01571242048723,9.716736198662788,10.07285050816569
1969,8.369388996647842,7.142036574706803,9.719624808723344,7.205635176410364,9.557116483735667,7.22402480828583,9.73032393352694,10.09390127922742
1970,8.441391477999955,7.242797922793756,9.757131416174783,7.232733136177615,9.647562511697538,7.463936604468925,9.750452916367067,10.08405757629128
1971,8.521981708148035,7.27655640271871,9.778887584302797,7.218176838403408,9.680593969977126,7.546446273746024,9.76652169746297,10.10209247940318
1972,8.608860379942062,7.266128779556451,9.814710982145282,7.192182058713246,9.747418366886238,7.553810852008231,9.79823814181703,10.14305548226448
1973,8.713746330456916,7.321849713788356,9.856081430138858,7.215239978730097,9.810604425056072,7.60688453121963,9.860997500915175,10.18874167991324
1974,8.766550149546351,7.325807502595773,9.864122829013851,7.203405521083095,9.784985508455128,7.68662133494462,9.847075918610166,10.17679175704195
1975,8.792093929503284,7.374001859350161,9.862300908205878,7.265429723253953,9.802672247297311,7.62608275807238,9.846070281666178,10.16415807574106
1976,8.86488793377419,7.325807502595773,9.914328575714002,7.256297239690681,9.830916859701293,7.699842407396986,9.868430160720726,10.20573798916331
1977,8.888480847722816,7.367077059881012,9.9444855315702,7.309212365692763,9.864226838582825,7.705262474866325,9.890402312987472,10.23999550280532
1978,8.9126079636709,7.463936604468925,9.973340054434962,7.339537695407675,9.906483061515926,7.614805364711073,9.925640357177262,10.2848648651152
1979,8.95364003713313,7.527793987721444,10.01256614756237,7.263329617476836,9.95142020629143,7.651595573857601,9.951706124806602,10.30725121400453
1980,9.017847259860732,7.565275281898932,10.0211372459695,7.309881485824786,9.971333099431195,7.640123172695364,9.933628709448115,10.29590119289956
1981,8.950143756459262,7.581719640125308,10.02362337377611,7.350516171833998,9.995337206166006,7.525639975041535,9.919311687883013,10.3108175872538
1982,8.934191535338075,7.662937850461535,10.01592298186592,7.358830898342354,10.01860035963663,7.486613313139955,9.935470598389179,10.28226639538179
1983,8.882252884889363,7.708410667257367,10.03626866376995,7.416378479192928,10.0347350891458,7.396948602621014,9.969556152505833,10.31420550692574
1984,8.914357274485015,7.801391320291486,10.06747540264158,7.432483807917119,10.06679617014815,7.331060305218633,9.992825387888324,10.37586336592692
1985,8.969796305981806,7.870547844507712,10.09133547745561,7.450079569807499,10.10385365616035,7.390798521735676,10.02477554974333,10.404959567375
1986,9.0217190130337,7.91862865334224,10.11281611481661,7.470224135899966,10.12631105263941,7.383989457978509,10.06467059012752,10.42969427834042
1987,9.036225051729327,7.983098940710892,10.1277105210699,7.491645473605133,10.16215267591742,7.349873704738337,10.10789670579409,10.45535914573812
1988,9.015541293671115,8.021256180143997,10.156539359589,7.569411792450712,10.21804278528445,7.418780882750794,10.15342881623572,10.48746140233255
