Country,Year-Month,Negative_Price_Hours
Austria,2015-01,12
Austria,2015-02,8
Austria,2015-03,14
Austria,2015-04,14
Austria,2015-05,17
Austria,2015-07,3
Austria,2015-09,13
Austria,2015-11,18
Austria,2015-12,11
Austria,2016-01,5
Austria,2016-02,14
Austria,2016-03,6
Austria,2016-05,21
Austria,2016-07,2
Austria,2016-11,14
Austria,2016-12,35
Austria,2017-01,3
Austria,2017-02,5
Austria,2017-04,18
Austria,2017-05,15
Austria,2017-07,7
Austria,2017-08,8
Austria,2017-09,8
Austria,2017-10,39
Austria,2017-11,1
Austria,2017-12,43
Austria,2018-01,43
Austria,2018-02,5
Austria,2018-03,21
Austria,2018-05,5
Austria,2019-01,2
Austria,2019-03,6
Austria,2019-04,7
Austria,2019-05,3
Austria,2019-06,7
Austria,2019-08,2
Austria,2020-02,2
Austria,2020-03,16
Austria,2020-04,22
Austria,2020-05,32
Austria,2020-06,7
Austria,2020-07,10
Austria,2020-10,10
Austria,2020-11,3
Austria,2021-02,2
Austria,2021-04,2
Austria,2021-05,15
Austria,2021-06,6
Austria,2021-07,1
Austria,2021-08,6
Austria,2022-12,4
Austria,2023-01,6
Austria,2023-05,20
Austria,2023-06,15
Austria,2023-07,22
Austria,2023-08,6
Austria,2023-09,2
Austria,2023-10,1
Austria,2023-12,36
Austria,2024-01,3
Austria,2024-03,11
Austria,2024-04,42
Austria,2024-05,57
Austria,2024-06,43
Austria,2024-07,35
Austria,2024-08,20
Austria,2024-09,8
Austria,2024-10,8
Austria,2025-03,6
Austria,2025-04,60
Austria,2025-05,86
Austria,2025-06,96
Austria,2025-07,8
Austria,2025-08,52
Austria,2025-09,21
Austria,2025-10,1
Belgium,2016-03,1
Belgium,2016-05,1
Belgium,2017-07,4
Belgium,2017-10,2
Belgium,2018-01,8
Belgium,2018-05,1
Belgium,2019-03,4
Belgium,2019-04,12
Belgium,2019-05,4
Belgium,2019-06,26
Belgium,2019-08,11
Belgium,2019-09,5
Belgium,2019-10,1
Belgium,2019-12,8
Belgium,2020-02,4
Belgium,2020-03,14
Belgium,2020-04,37
Belgium,2020-05,35
Belgium,2020-06,9
Belgium,2020-07,20
Belgium,2020-10,3
Belgium,2020-11,6
Belgium,2020-12,8
Belgium,2021-02,6
Belgium,2021-03,32
Belgium,2021-04,19
Belgium,2021-05,27
Belgium,2021-06,8
Belgium,2021-07,19
Belgium,2021-08,22
Belgium,2021-10,14
Belgium,2021-12,12
Belgium,2022-01,5
Belgium,2022-02,11
Belgium,2022-03,16
Belgium,2022-04,21
Belgium,2022-05,20
Belgium,2022-06,18
Belgium,2022-07,4
Belgium,2022-08,2
Belgium,2022-09,1
Belgium,2022-10,3
Belgium,2022-11,1
Belgium,2022-12,11
Belgium,2023-01,16
Belgium,2023-03,14
Belgium,2023-04,6
Belgium,2023-05,19
Belgium,2023-06,10
Belgium,2023-07,52
Belgium,2023-08,9
Belgium,2023-09,20
Belgium,2023-10,25
Belgium,2023-12,50
Belgium,2024-01,12
Belgium,2024-03,5
Belgium,2024-04,56
Belgium,2024-05,64
Belgium,2024-06,69
Belgium,2024-07,79
Belgium,2024-08,70
Belgium,2024-09,29
Belgium,2024-10,17
Belgium,2024-11,2
Belgium,2024-12,1
Belgium,2025-03,32
Belgium,2025-04,80
Belgium,2025-05,122
Belgium,2025-06,127
Belgium,2025-07,11
Belgium,2025-08,58
Belgium,2025-10,31
Czechia,2015-01,19
Czechia,2015-03,2
Czechia,2015-04,3
Czechia,2015-05,11
Czechia,2015-07,3
Czechia,2015-09,16
Czechia,2015-11,4
Czechia,2015-12,14
Czechia,2016-02,9
Czechia,2016-03,10
Czechia,2016-05,13
Czechia,2016-12,26
Czechia,2017-02,5
Czechia,2017-04,9
Czechia,2017-05,7
Czechia,2017-08,5
Czechia,2017-09,7
Czechia,2017-10,27
Czechia,2017-11,9
Czechia,2017-12,44
Czechia,2018-01,19
Czechia,2018-03,4
Czechia,2018-04,2
Czechia,2018-05,16
Czechia,2019-01,5
Czechia,2019-03,15
Czechia,2019-04,9
Czechia,2019-05,5
Czechia,2019-06,24
Czechia,2020-02,11
Czechia,2020-03,19
Czechia,2020-04,29
Czechia,2020-05,37
Czechia,2020-06,6
Czechia,2020-07,7
Czechia,2020-08,1
Czechia,2020-10,4
Czechia,2020-11,3
Czechia,2020-12,2
Czechia,2021-04,15
Czechia,2021-05,12
Czechia,2021-06,5
Czechia,2021-08,1
Czechia,2022-12,8
Czechia,2023-01,8
Czechia,2023-04,4
Czechia,2023-05,24
Czechia,2023-06,19
Czechia,2023-07,35
Czechia,2023-08,12
Czechia,2023-09,4
Czechia,2023-10,2
Czechia,2023-12,26
Czechia,2024-01,2
Czechia,2024-03,4
Czechia,2024-04,47
Czechia,2024-05,72
Czechia,2024-06,57
Czechia,2024-07,60
Czechia,2024-08,38
Czechia,2024-09,12
Czechia,2024-10,22
Czechia,2024-12,1
Czechia,2025-03,10
Czechia,2025-04,72
Czechia,2025-05,81
Czechia,2025-06,69
Czechia,2025-07,6
Czechia,2025-08,54
Czechia,2025-10,7
Denmark,2015-01,12
Denmark,2015-02,6
Denmark,2015-03,5
Denmark,2015-04,3
Denmark,2015-07,2
Denmark,2015-09,1
Denmark,2015-11,8
Denmark,2015-12,4
Denmark,2016-01,1
Denmark,2016-02,9
Denmark,2016-03,5
Denmark,2016-12,36
Denmark,2017-01,3
Denmark,2017-02,4
Denmark,2017-03,2
