Location,Population,Total in km2 (mi2),Population Density
India,1417492000,3287263.0,431.2073600439028
China,1408280000,9596960.0,146.74230172888082
United States,340110988,9525067.0,35.70693917428612
Indonesia,284438782,1904569.0,149.34548551404544
Pakistan,241499431,882363.0,273.69623499625436
Nigeria,223800000,923768.0,242.26862155865976
Brazil,213421037,8510346.0,25.07783314567939
Bangladesh,169828911,148460.0,1143.93716152499
Russia,146028325,17098246.0,8.540544158740024
Mexico,130760049,1964375.0,66.56572650334076
Japan,123190000,377915.0,325.9727716550018
Philippines,114123600,300000.0,380.412
Democratic Republic of the Congo,112832000,2344858.0,48.118905281257966
Ethiopia,111652998,1104300.0,101.10748709589785
Egypt,107271260,1001450.0,107.11594188426781
Vietnam,101343800,331340.0,305.860445463874
Iran,85961000,1648195.0,52.15462976164835
Turkey,85664944,783562.0,109.32758862731986
Germany,83497147,357581.0,233.5055469949466
United Kingdom,69487000,244376.0,284.34461649261794
France,68736000,643801.0,106.7659105841712
Tanzania,68153004,947303.0,71.94425015016314
Thailand,65826149,513120.0,128.2860714842532
South Africa,63100945,1219090.0,51.76069445241943
Italy,58925596,302068.0,195.0739436153449
Kenya,53330978,580367.0,91.89181672975893
Colombia,53057212,1138910.0,46.58595674811882
Sudan,51662000,1861484.0,27.7531260005458
Myanmar,51316756,676578.0,75.8475090824709
South Korea,51143421,100432.0,509.23431774733154
Spain,49442844,505370.0,97.8349407364901
Algeria,47400000,2381741.0,19.901408255557595
Argentina,46387098,2780400.0,16.68360595597756
Iraq,46118793,438317.0,105.21789709274339
Uganda,45905417,241550.0,190.04519561167461
Afghanistan,43844000,652864.0,67.15640623468288
Canada,41575585,9984670.0,4.163941822814374
Uzbekistan,38069116,447400.0,85.0896647295485
Poland,37376000,312685.0,119.53243679741593
Morocco,36828330,446550.0,82.473026536782
Angola,36604681,1246700.0,29.361258522499398
Saudi Arabia,35300280,2149690.0,16.421102577580953
Peru,34350244,1285216.0,26.727214724995644
Malaysia,34281100,330621.0,103.68700112818
Mozambique,34090466,799380.0,42.64613325327129
Ghana,33742380,238537.0,141.45553939221168
Ukraine,32862000,575627.0,57.089052459318275
Yemen,32684503,455503.0,71.75474804776259
Madagascar,31727042,587041.0,54.045700385492665
Ivory Coast,31719275,322462.0,98.36593148960188
Nepal,29911840,147181.0,203.2316671309476
Cameroon,29442327,475650.0,61.899142226426996
Venezuela,28517000,912050.0,31.26692615536429
Australia,27614400,7741220.0,3.567189667778464
Niger,26312034,1267000.0,20.767193370165746
Syria,26019711,185180.0,140.51037369046333
North Korea,25950000,120538.0,215.28480645107766
Burkina Faso,24070553,274200.0,87.78465718453684
Taiwan,23317031,35980.0,648.0553362979433
Mali,22395489,1240192.0,18.058082135669316
